Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,Author_url,Article_Link
Data Cleaning,Did you know that Data Scientists spend 80% of their time cleaning data and the other 20% complaining about it?,1,Mohit SharmaTheMenYouWantToBe),Hacker Noon,2018,9,1,data-science,17,43,0,https://hackernoon.com/@themenyouwanttobe?source=tag_archive---------0---------------------,https://hackernoon.com/data-cleaning-3c3e37f358dc
Introduction to Word Embedding and Word2Vec,Word embedding is one of the most popular representation of document vocabulary. It,1,Dhruvil Karani,Towards Data Science,2018,9,1,data-science,5,69,0,https://towardsdatascience.com/@karanidhruvil?source=tag_archive---------1---------------------,https://towardsdatascience.com/introduction-to-word-embedding-and-word2vec-652d0c2060fa
Linear Algebra 101Part 2,"Before stepping into this article, please note that these stories are a series of Towards understanding",1,Sho Nakagome,sho.jp,2018,9,1,data-science,6,119,0,https://medium.com/@sho.jp?source=tag_archive---------2---------------------,https://medium.com/sho-jp/towards-understanding-linear-algebra-part-2-e51c948ad00
MS ExcelAccountants Should Understand These Basic Data Management Techniques!,NaN,1,Don Tomoff,Let s Excel,2018,9,1,data-science,4,10,0,https://medium.com/@dtomoffcpa?source=tag_archive---------3---------------------,https://medium.com/lets-excel/ms-excel-accountants-need-to-know-these-basic-data-management-techniques-7ced037fb2cb
Statistical Learning Notes (Series),"This is the pilot post of blog post series Statistical Learning Notes, this post covers the",1,Ankit Rathi,Towards Data Science,2018,9,1,data-science,2,62,0,https://towardsdatascience.com/@rathi.ankit?source=tag_archive---------4---------------------,https://towardsdatascience.com/statistical-learning-notes-series-c8c218102ae0
Kaggle X Avocado Prices (1/2),This is for data science taking Kaggle datasetAvocado Prices as demonstration. After finishing reading,1,Chia-HuiAlice) Liu,NaN,2018,9,1,data-science,7,60,0,https://medium.com/@chiahuiliu?source=tag_archive---------5---------------------,https://medium.com/@chiahuiliu/kaggle-x-avocado-prices-1-3-4a816fbbefc6
Step out from regular expression for feature engineering,NaN,1,Edward Ma,Towards Data Science,2018,9,1,data-science,4,20,0,https://towardsdatascience.com/@makcedward?source=tag_archive---------6---------------------,https://towardsdatascience.com/step-out-from-regular-expression-for-feature-engineering-134e594f542c
Uncovering Hidden Trends in AirBnB Reviews using Data Science,NaN,1,Sakshi Gupta,Towards Data Science,2018,9,1,data-science,8,56,0,https://towardsdatascience.com/@sakshi716?source=tag_archive---------7---------------------,https://towardsdatascience.com/uncovering-hidden-trends-in-airbnb-reviews-11eb924f2fec
Mean Image Clustering on Pokemon Images,Exploratory algorithms are well-defined on numerical attributes by presenting a summary of,1,Connor Shorten,Towards Data Science,2018,9,1,data-science,4,259,0,https://towardsdatascience.com/@connorshorten300?source=tag_archive---------8---------------------,https://towardsdatascience.com/color-difference-clustering-on-pokemon-images-68c6f0a3245b
Neural NetworkDeep LearningParte 2: Introduo Terica,NaN,1,Arthur Lamblet Vaz,Data Hackers,2018,9,1,data-science,7,14,0,https://medium.com/@arthurlambletvaz?source=tag_archive---------9---------------------,https://medium.com/data-hackers/neural-network-deep-learning-parte-2-introdu%C3%A7%C3%A3o-te%C3%B3rica-e9943e1dfc98
"Review: SPPNet 1st Runner Up (Object Detection), 2nd Runner Up (Image Classification) in ILSVRC 2014",NaN,1,SH Tsang,Coinmonks,2018,9,1,data-science,6,24,0,https://medium.com/@sh.tsang?source=tag_archive---------10---------------------,https://medium.com/coinmonks/review-sppnet-1st-runner-up-object-detection-2nd-runner-up-image-classification-in-ilsvrc-906da3753679
Non-technical skills needed as a data scientist & how can he become effective Communicator,NaN,1,Saurabh Sahu,GreyAtom,2018,9,1,data-science,5,103,0,https://medium.com/@sahusaurabh9821?source=tag_archive---------11---------------------,https://medium.com/greyatom/non-technical-skills-needed-as-a-data-scientist-how-can-he-become-effective-communicator-76241c1bc088
Kaggle Competition: Digit Recognizer -MNIST with tf.Keras,NaN,1,Margaret Maynard-Reid,Google Developers Experts,2018,9,1,data-science,4,63,0,https://medium.com/@margaretmz?source=tag_archive---------12---------------------,https://medium.com/google-developer-experts/kaggle-competition-digit-recognizer-mnist-with-tf-keras-86981edadded
My freewheeling conversation on Data Science,A few weeks back I had setup up an Ask-Me-Anything session where anyone could,1,Ganes Kesari,NaN,2018,9,1,data-science,4,53,0,https://medium.com/@kesari?source=tag_archive---------13---------------------,https://medium.com/@kesari/my-freewheeling-conversation-on-data-science-a34de1211e6d
Application on Kruskal-Wallis Test,"In real world, data is coming from various domains. You may need to obtain meaningful inferences from data. In statistics, various statistical techniques are available for making inferences. Mainly, two approaches named as parametric and non parametric can be",0,Indula Kulawardana,NaN,2018,9,1,data-science,3,1,0,https://medium.com/@indkulwardana8?source=tag_archive---------14---------------------,https://medium.com/@indkulwardana8/application-on-kruskal-wallis-test-26c92af132f3
Importing Data to R: The First Step Towards Your Data Science Project,NaN,1,Sakshi Gupta,Towards Data Science,2018,9,1,data-science,4,37,0,https://towardsdatascience.com/@sakshi716?source=tag_archive---------15---------------------,https://towardsdatascience.com/importing-data-to-r-the-first-step-towards-your-data-science-project-a499c1dd0948
      ,Sofia Heisler ,1,aldente0630,NaN,2018,9,1,data-science,10,1,0,https://medium.com/@aldente0630?source=tag_archive---------16---------------------,https://medium.com/@aldente0630/%ED%8C%90%EB%8B%A4%EC%8A%A4-%EC%BD%94%EB%93%9C-%EC%86%8D%EB%8F%84-%EC%B5%9C%EC%A0%81%ED%99%94%EB%A5%BC-%EC%9C%84%ED%95%9C-%EC%B4%88%EB%B3%B4%EC%9E%90-%EC%95%88%EB%82%B4%EC%84%9C-28cc64d7eb92
Some Facts about Stats!,"Here are some interesting questions that came to my mind when I started learning Descriptive Statistics, after",1,Rushabh Mehta,GreyAtom,2018,9,1,data-science,4,1,0,https://medium.com/@rushabh123?source=tag_archive---------17---------------------,https://medium.com/greyatom/some-facts-about-stats-839cf9cf3a8d
Classification Evaluation Scheme: the Breakdown of Confusion Matrix,"Accuracy, Precision, Recall, ROC",1,Korkrid Kyle Akepanidtaworn,NaN,2018,9,1,data-science,4,9,0,https://medium.com/@kyleake?source=tag_archive---------18---------------------,https://medium.com/@kyleake/classification-evaluation-scheme-the-breakdown-of-confusion-matrix-7b8066e978aa
The Snorlax,Weeknotes S01E07,0,Steve Messer,Web of Weeknotes,2018,9,1,data-science,3,6,0,https://weeknot.es/@stevenjmesser?source=tag_archive---------19---------------------,https://weeknot.es/the-snorlax-95f4ac78c4c4
DataOil of the Future AND Data Scienceits Exploration engine !!!,"For taking steps to know about Data Science, in the first of the series, I shall cover briefly an introduction to Data Science, what skills you require to become a Data Scientist and briefly on Python, the",0,Rajesh S. Brid,GreyAtom,2018,9,1,data-science,11,2,0,https://medium.com/@rajesh_brid?source=tag_archive---------20---------------------,https://medium.com/greyatom/data-oil-of-the-future-and-data-science-its-exploration-engine-acdea8c2fc21
Why I decided to pursue bioinformatics and start a blog,"After years of collaborating with amazing bioinformaticians and wishing they had more time to spend on our project, I decided that the only way to make it happen was to become a bioinformatician",0,Deena Blumenkrantz,Deena Does Data Science,2018,9,1,data-science,2,62,0,https://medium.com/@deenab?source=tag_archive---------21---------------------,https://medium.com/deena-does-data-science/why-i-blog-27848409149f
NaN,NaN,0,Ke Gui,NaN,2018,9,1,data-science,1,0,0,https://medium.com/@kegui?source=tag_archive---------22---------------------,https://medium.com/@kegui/change-jupyter-notebook-startup-folder-windows-608dfcfdc104
DATA STRUCTURES AND ALGORITHMS,DATA STRUCTURES AND ALGORITHMS,0,gilbert adjei,NaN,2018,9,1,data-science,2,11,0,https://medium.com/@gilbertadjei800?source=tag_archive---------23---------------------,https://medium.com/@gilbertadjei800/data-structures-and-algorithms-8e919d0601cb
5 Reviews to Make You Blush 5 Shades of Crimson,From the Most Helpful on Amazon,1,Corey Wade,NaN,2018,9,1,data-science,10,1,0,https://medium.com/@coreywade?source=tag_archive---------24---------------------,https://medium.com/@coreywade/5-reviews-to-make-you-blush-5-shades-of-crimson-ec09cef67a5c
A true believer,"For a year, he used our platform, asked questions and spread the word anyway. He was genuinely excited about what we were trying to accomplish. He shared with",0,Aur lien Vasinis,brainsfeed,2018,9,1,data-science,1,51,0,https://medium.com/@vasinis?source=tag_archive---------25---------------------,https://medium.com/brainsfeed/a-true-believer-35586a29d465
An Interesting relationship of Hive Tables with Apache Spark,{ > 2.0.0},0,ABC a Software Engineer,NaN,2018,9,1,data-science,3,0,0,https://medium.com/@Ubunta?source=tag_archive---------26---------------------,https://medium.com/@Ubunta/an-interesting-relationship-of-hive-tables-with-apache-spark-85f049de9950
Thank you! That all makes sense to me except useless.,"Its not actually a type of data and shouldnt be put on the same dimension with other types mentioned. Useless data can simultaneously be ordinal, or interval, or any other data type. It actually depends on the context: for some tasks one piece of data might be",0,Alexey Grinko,NaN,2018,9,1,data-science,1,1,1,https://medium.com/@grinko.alexey?source=tag_archive---------27---------------------,https://medium.com/@grinko.alexey/thank-you-that-all-makes-sense-to-me-except-useless-412229a77ade
First steps into Data Science,Story about inferential statistics project,1,Artem Dracontis,NaN,2018,9,1,data-science,8,3,0,https://medium.com/@Dracontis?source=tag_archive---------28---------------------,https://medium.com/@Dracontis/first-steps-into-data-science-22254d00de8b
Tales from the Megabus,"When I graduated with my Ph.D., I took a job in DC, more specifically northern Virginia (Alexandria). I made a deal",1,Robert McKeon Aloe,Overthinking Life,2018,9,1,data-science,3,1,0,https://medium.com/@rmckeon?source=tag_archive---------29---------------------,https://medium.com/overthinking-life/tales-from-the-megabus-22e2a0b124c
Syntax Errors vs Exceptions in Python,NaN,0,Rizwan Qaiser,NaN,2018,9,1,data-science,2,12,0,https://medium.com/@rqaiserr?source=tag_archive---------30---------------------,https://medium.com/@rqaiserr/how-to-handle-errors-in-python-bcab28b99c4c
Read Practical Statistics for Data Scientists: 50 Essential Concepts By Peter Bruce eBook PDF #pdf,[PDF] Download Practical Statistics for Data Scientists: 50 Essential Concepts By Peter Bruce Free Link,0,Roman Nichols,NaN,2018,9,1,data-science,3,0,0,https://medium.com/@romannichols?source=tag_archive---------31---------------------,https://medium.com/@romannichols/read-practical-statistics-for-data-scientists-50-essential-concepts-by-peter-bruce-ebook-pdf-pdf-c5329fa5d97f
How much can you earn as a freelancer?,Im always interested in freelancing and wonder how freelancers can earn money from the,1,Ben Wang,NaN,2018,9,1,data-science,1,0,0,https://medium.com/@tf.wang.seu?source=tag_archive---------32---------------------,https://medium.com/@tf.wang.seu/how-much-can-you-earn-as-a-freelancer-9e33cb40332b
Understanding Research Trends in Recommender Systems from Word Cloud,"The field of recommender systems grows rapidly according to the recent development of practical intelligent systems. However, even though the field is exceptionally practical compared to the other",0,Takuya Kitazawa,NaN,2018,9,1,data-science,3,0,0,https://medium.com/@takuti?source=tag_archive---------33---------------------,https://medium.com/@takuti/understanding-research-trends-in-recommender-systems-from-word-cloud-c45e9a0ab5cc
Algorithms fall short in predicting litigation outcomes,"Emanwel Turnbull, one of two attorneys at the Holland Law Firm, uses a unique, statewide database to gain early insight into his cases.",0,Jason Tashea,NaN,2018,9,1,data-science,1,0,0,https://medium.com/@jtashea?source=tag_archive---------34---------------------,https://medium.com/@jtashea/algorithms-fall-short-in-predicting-litigation-outcomes-fce1edbf269
(Download) Categorical Data Analysis By Alan Agresti PDF Books #Mobi,"PDF[EPUB] Categorical Data Analysis READ ONLINE By Alan Agresti   Link https://shoppipubherenow.icu/?q=Categorical+Data+AnalysisA classic in its own right, this book continues to provide an introduction to",0,Richmond Greene,NaN,2018,9,1,data-science,2,0,0,https://medium.com/@richmondgreene?source=tag_archive---------35---------------------,https://medium.com/@richmondgreene/download-categorical-data-analysis-by-alan-agresti-pdf-books-mobi-2c289664404c
ISEL Global partnered with Hunarmand India to offer Government certified courses,"ISELInstitute for Skill Enhancement & learning, an online leading and the pioneer in the training providers for Live Virtual Training Programs across India today announced their alliance",0,ISEL GLOBAL Premier Certification Provider Body,NaN,2018,9,1,data-science,2,0,0,https://medium.com/@pscanada2017?source=tag_archive---------36---------------------,https://medium.com/@pscanada2017/isel-global-partnered-with-hunarmand-india-to-offer-government-certified-courses-7d6607343704
Pdf Download eBook Free Python Data Science Handbook: Tools and Techniques for Developers By Jake Vanderplas PDF #epub,DOWNLOAD in @PDF Python Data Science Handbook: Tools and Techniques for Developers [PDF EBOOK EPUB KINDLE] By Jake Vanderplas,0,sgdhfjh,NaN,2018,9,1,data-science,3,0,0,https://medium.com/@sgdhfjh?source=tag_archive---------37---------------------,https://medium.com/@sgdhfjh/pdf-download-ebook-free-python-data-science-handbook-tools-and-techniques-for-developers-by-jake-9ee281e347d0
NaN,NaN,0,gorok,NaN,2018,9,1,data-science,4,0,0,https://medium.com/@gorok?source=tag_archive---------38---------------------,https://medium.com/@gorok/pdf-download-ebook-free-data-science-for-business-what-you-need-to-know-about-data-mining-and-8052edb73852
What is data science?,Data science,1,Anurag Gandhi,NaN,2018,9,1,data-science,1,0,0,https://medium.com/@anuraggandhi29?source=tag_archive---------39---------------------,https://medium.com/@anuraggandhi29/what-is-datascience-6ac639f830c2
NaN,NaN,0,Molo.,NaN,2018,9,1,data-science,0,0,1,https://medium.com/@molo.?source=tag_archive---------40---------------------,NaN
Read pdf Free eBook C# 7.0 in a Nutshell: The Definitive Reference By Joseph Albahari PDF eBook #pdf,[PDF] Download Practical Statistics for Data Scientists: 50 Essential Concepts By Peter Bruce Free Link,0,Duncan Wilder,NaN,2018,9,1,data-science,3,0,0,https://medium.com/@duncanwilder?source=tag_archive---------41---------------------,https://medium.com/@duncanwilder/read-pdf-free-ebook-c-7-0-4a1c43306c0f
What can send to sleep everybody may keep awake a sw engineer ;),Just consider that a lot of tech stuff is on Medium too and theres an active community around all IT. Hacker Noon and Towards Data Science are two active publications that come to my mind.,0,Vico Biscotti,NaN,2018,9,1,data-science,1,0,1,https://medium.com/@vicobiscotti?source=tag_archive---------42---------------------,https://medium.com/@vicobiscotti/what-can-send-to-sleep-everybody-may-keep-awake-a-sw-engineer-c3ddb5e67007
